key,source_language,target_language
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen News erhalten,تلقي الإخطارات اللحظية لأحدث الأخبار المحلية
settings.proposeCitiesTitle,Nahegelegene Orte,الأماكن القريبة
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,تلقي اقتراحات الأماكن القريبة بمساعدة موقع الـGPS
settings.about,Über Integreat,حول تطبيق إنتجريت
settings.privacyPolicy,Datenschutzerklärung,بيان الخصوصية
settings.version,Version: {{version}},الإصدار: {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,تراخيص مفتوحة المصدر
snackbar.grantPermission,Erlauben,السماح
snackbar.deactivateFeature,Feature deaktivieren,إلغاء تنشيط الخدمة
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,لا توجد عروض متاحة
wohnen.noOffersAvailable,Keine Angebote verfügbar.,لا توجد عروض متاحة.
wohnen.values.runningServices.heating,Heizung,التدفئة
wohnen.values.runningServices.water,Wasser/Abwasser,الماء/الصرف الصحي
wohnen.values.runningServices.garbage,Müllabfuhr,جمع القمامة
wohnen.values.runningServices.chimney,Kaminkehrer,منظف المداخن
wohnen.values.runningServices.other,Sonstiges,غير ذلك
wohnen.values.additionalServices.garage,Garage/Stellplatz,جراج/موقف السيارات
wohnen.values.additionalServices.other,Sonstiges,غير ذلك
wohnen.values.rooms.kitchen,Küche,المطبخ
wohnen.values.rooms.bath,Bad,الحمام
wohnen.values.rooms.wc,WC,دورة المياه
wohnen.values.rooms.child1,Kinderzimmer 1,غرفة الأطفال 1
wohnen.values.rooms.child2,Kinderzimmer 2,غرفة الأطفال 2
wohnen.values.rooms.child3,Kinderzimmer 3,غرفة الأطفال 3
wohnen.values.rooms.bed,Schlafzimmer,غرفة النوم
wohnen.values.rooms.livingroom,Wohnzimmer,غرفة المعيشة
wohnen.values.rooms.hallway,Diele,الرَدْهَة
wohnen.values.rooms.store,Abstellraum,المخزن
wohnen.values.rooms.basement,Kellerraum,القبو
wohnen.values.rooms.balcony,Balkon / Terrasse,الشرفة
