"key","source_language","target_language"
"wohnen.values.additionalServices.garage","Garage/Stellplatz","ጋራጅ/ናይ መዐሸጊ መኻይን ቦታ"
"wohnen.values.additionalServices.other","Sonstiges","በብዓይነቱ"
"wohnen.values.rooms.kitchen","Küche","ክሽነ"
"wohnen.values.rooms.bath","Bad","መሕጸቢ ሰብነት"
"wohnen.values.rooms.wc","WC","ሽቓቕ"
"wohnen.values.rooms.child1","Kinderzimmer 1","ናይ ቆልዑ ክፍሊ 1"
"wohnen.values.rooms.child2","Kinderzimmer 2","ናይ ቆልዑ ክፍሊ 2"
"wohnen.values.rooms.child3","Kinderzimmer 3","ናይ ቆልዑ ክፍሊ 3"
"wohnen.values.rooms.bed","Schlafzimmer","መደቀሲ ክፍሊ"
"wohnen.values.rooms.livingroom","Wohnzimmer","ሳሎን"
"wohnen.values.rooms.hallway","Diele","ኣዳራሽ"
"wohnen.values.rooms.store","Abstellraum","መኻዚኖ"
"wohnen.values.rooms.basement","Kellerraum","ናይ ትሕተ ምድሪ ክፍሊ"
"wohnen.values.rooms.balcony","Balkon / Terrasse","ሰገነት/ቴራሶ"
